Count,Filename_0,Time_0,FrameDisp_(mm),Load_(N)
1,ENF-05_0001.png,3.476,-0,0
2,ENF-05_0002.png,3.976,0.00316402777489522,0.0292248054000011
3,ENF-05_0003.png,4.476,0.00316402777489522,-4.44821999998624e-05
4,ENF-05_0004.png,4.976,0.003617799685248,0.116988186
5,ENF-05_0005.png,5.476,0.00180821230942385,0.0292248053999993
6,ENF-05_0006.png,5.976,0.0090438116799163,0.1755267612
7,ENF-05_0007.png,6.476,0.00271163093094096,0.0584940930000002
8,ENF-05_0008.png,6.976,0.015825639140056,-0.014679125999999
9,ENF-05_0009.png,7.476,0.0429570741797995,0.2047515666
10,ENF-05_0010.png,7.976,0.0289382722827742,0.0731287367999993
11,ENF-05_0011.png,8.476,0.0696361123755906,0.2778803034
12,ENF-05_0012.png,8.976,0.0709905527746653,0.0877633806000002
13,ENF-05_0013.png,9.476,0.070991927841062,0.3217842348
14,ENF-05_0014.png,9.976,0.0687313186876803,0.219341728200001
15,ENF-05_0015.png,10.476,0.0863679202699501,0.3217842348
16,ENF-05_0016.png,10.976,0.10490656540734,0.3364188786
17,ENF-05_0017.png,11.476,0.109880180558056,0.394912971600001
18,ENF-05_0018.png,11.976,0.107618196338279,0.277835821200001
19,ENF-05_0019.png,12.476,0.122541791923217,0.277924785600001
20,ENF-05_0020.png,12.976,0.131584228536733,0.3949129716
21,ENF-05_0021.png,13.476,0.137011615597801,0.3363743964
22,ENF-05_0022.png,13.976,0.151030417494823,0.2193417282
23,ENF-05_0023.png,14.476,0.163690653793591,0.497310996
24,ENF-05_0024.png,14.976,0.168211872100352,0.365643684
25,ENF-05_0025.png,15.476,0.182230673997374,0.409503133199999
26,ENF-05_0026.png,15.976,0.189012501457515,0.394912971600001
27,ENF-05_0027.png,16.476,0.19896110682534,0.5850743766
28,ENF-05_0028.png,16.976,0.208457315349213,0.614299182000001
29,ENF-05_0029.png,17.476,0.210719299568986,0.497310996
30,ENF-05_0030.png,17.976,0.227902129240906,0.497266513800001
31,ENF-05_0031.png,18.476,0.235588750388958,0.599709020400001
32,ENF-05_0032.png,18.976,0.24056236553967,0.526535801400001
33,ENF-05_0033.png,19.476,0.25186816143936,0.6436129518
34,ENF-05_0034.png,19.976,0.258197592055547,0.5850743766
35,ENF-05_0035.png,20.476,0.270406806576752,0.658247595600001
36,ENF-05_0036.png,20.976,0.27447425297316,0.687472401
37,ENF-05_0037.png,21.48,0.28578004887285,0.658247595600001
38,ENF-05_0038.png,21.98,0.293920441931249,0.76064562
39,ENF-05_0039.png,22.48,0.303415275388726,0.7167861708
40,ENF-05_0040.png,22.98,0.31426867444446,0.8045050692
41,ENF-05_0041.png,23.48,0.323313861190771,0.833774356799999
42,ENF-05_0042.png,23.98,0.333261091492199,0.9069030936
43,ENF-05_0043.png,24.48,0.340495315796298,1.0385259234
44,ENF-05_0044.png,24.98,0.348183312010741,1.009301118
45,ENF-05_0045.png,25.48,0.360843548309505,1.1556030738
46,ENF-05_0046.png,25.98,0.369887359989422,1.1556030738
47,ENF-05_0047.png,26.48,0.376670562515958,1.2872259036
48,ENF-05_0048.png,26.98,0.384810955574356,1.404303054
49,ENF-05_0049.png,27.48,0.397471191873121,1.652958552
50,ENF-05_0050.png,27.98,0.404706791243607,1.9308388554
51,ENF-05_0051.png,28.48,0.414202999767481,2.3112061476
52,ENF-05_0052.png,28.98,0.421889620915533,3.0864419292
53,ENF-05_0053.png,29.48,0.425961192511126,4.2859044522
54,ENF-05_0054.png,29.98,0.439523472365011,5.6170342872
55,ENF-05_0055.png,30.48,0.449473452799229,7.094466078
56,ENF-05_0056.png,30.98,0.451281665108656,8.6011671564
57,ENF-05_0057.png,31.48,0.463489504563464,10.224900903
58,ENF-05_0058.png,31.98,0.46846311971418,11.8630913646
59,ENF-05_0059.png,32.48,0.482029524767251,13.8086538282
60,ENF-05_0060.png,32.98,0.49243052697903,15.1251490194
61,ENF-05_0061.png,33.48,0.498308935817656,16.9536343326
62,ENF-05_0062.png,33.98,0.502828779058019,18.5626889532
63,ENF-05_0063.png,34.48,0.508256166119084,20.3473148172
64,ENF-05_0064.png,34.98,0.517752374642953,23.082703224
65,ENF-05_0065.png,35.48,0.532223573383934,25.2037479666
66,ENF-05_0066.png,35.98,0.537648210312208,26.7396738504
67,ENF-05_0067.png,36.48,0.536744791690696,28.597383969
68,ENF-05_0068.png,36.98,0.552120784119587,30.9232247604
69,ENF-05_0069.png,37.48,0.557997817891813,33.1320328836
70,ENF-05_0070.png,37.98,0.564327248508,34.492387524
71,ENF-05_0071.png,38.48,0.572467641566401,36.335507481
72,ENF-05_0072.png,38.98,0.586937465240986,40.3728453996
73,ENF-05_0073.png,39.48,0.600050098383706,42.9766554588
74,ENF-05_0074.png,39.98,0.603667898068952,45.2438687106
75,ENF-05_0075.png,40.48,0.609547681973972,46.8968272626
76,ENF-05_0076.png,40.98,0.618590118587488,48.5058818832
77,ENF-05_0077.png,41.48,0.626276739735538,50.8902167676
78,ENF-05_0078.png,41.98,0.638487329323141,53.04057528
79,ENF-05_0079.png,42.48,0.644816759939324,54.7227586374
80,ENF-05_0080.png,42.98,0.670591004447207,62.4462475056
81,ENF-05_0081.png,43.48,0.680540984881425,65.6789913906
82,ENF-05_0082.png,43.98,0.689584796561341,67.185692469
83,ENF-05_0083.png,44.48,0.696366624021481,69.087306519
84,ENF-05_0084.png,44.98,0.701794011082546,70.8572977392
85,ENF-05_0085.png,45.48,0.707218648010821,73.2415881414
86,ENF-05_0086.png,45.98,0.720332656219936,75.3772675278
87,ENF-05_0087.png,46.48,0.73073228336532,78.5369271582
88,ENF-05_0088.png,46.98,0.735707273582431,80.80414041
89,ENF-05_0089.png,47.48,0.739778845178025,82.9545434046
90,ENF-05_0090.png,47.98,0.747465466326078,84.8707920984
91,ENF-05_0091.png,48.48,0.760575349336005,86.7723616662
92,ENF-05_0092.png,48.98,0.764646920931598,89.1420619068
93,ENF-05_0093.png,49.48,0.776403738608852,91.9213987272
94,ENF-05_0094.png,49.98,0.784995153444813,94.5544335918
95,ENF-05_0095.png,50.48,0.800369770807308,100.361629284
96,ENF-05_0096.png,50.98,0.816649181857713,103.6383215826
97,ENF-05_0097.png,51.48,0.822073818785984,104.7645664044
98,ENF-05_0098.png,51.98,0.829309418156477,106.4907426576
99,ENF-05_0099.png,52.48,0.834736805217538,108.2607338778
100,ENF-05_0100.png,52.98,0.839711795434649,110.2939707576
101,ENF-05_0101.png,53.48,0.851467238045508,112.4003808564
102,ENF-05_0102.png,53.98,0.855537434574703,114.2873602626
103,ENF-05_0103.png,54.48,0.865033643098579,116.8325872644
104,ENF-05_0104.png,54.98,0.870007258249291,118.6757072214
105,ENF-05_0105.png,55.48,0.873172661090582,120.8113866078
106,ENF-05_0106.png,55.98,0.888545903386678,123.1664522046
107,ENF-05_0107.png,56.48,0.896233899601127,125.4337099386
108,ENF-05_0108.png,56.98,0.907085923590465,128.7835754562
109,ENF-05_0109.png,57.48,0.917486925802248,132.835414572
110,ENF-05_0110.png,57.98,0.92653073748216,135.380686056
111,ENF-05_0111.png,58.48,0.93421735863021,137.3846981304
112,ENF-05_0112.png,58.98,0.942357751688611,139.8129369462
113,ENF-05_0113.png,59.48,0.951401563368526,141.8900777574
114,ENF-05_0114.png,59.98,0.948687182304795,143.396823318
115,ENF-05_0115.png,60.48,0.971294648904991,148.0484159364
116,ENF-05_0116.png,60.98,0.981243254272814,151.8223747488
117,ENF-05_0117.png,61.48,0.989836044175169,153.9873234228
118,ENF-05_0118.png,61.98,0.998426083944736,155.8743473112
119,ENF-05_0119.png,62.48,1.00159286185242,157.9661227662
120,ENF-05_0120.png,62.98,1.01515926690549,159.8531021724
121,ENF-05_0121.png,63.48,1.01696747921492,161.9156083398
122,ENF-05_0122.png,63.98,1.02103630067772,163.8903956088
123,ENF-05_0123.png,64.48,1.03188832466706,166.4941167036
124,ENF-05_0124.png,64.98,1.04816773571746,169.843937739
125,ENF-05_0125.png,65.48,1.05721292246377,172.4768836392
126,ENF-05_0126.png,65.98,1.06083072214902,176.250931416
127,ENF-05_0127.png,66.48,1.08027278590792,180.2296862772
128,ENF-05_0128.png,66.98,1.09293577233948,182.7750022434
129,ENF-05_0129.png,67.48,1.09700459380229,185.0276253336
130,ENF-05_0130.png,67.98,1.10966620516744,187.0170917286
131,ENF-05_0131.png,68.48,1.11328400485269,188.6699613162
132,ENF-05_0132.png,68.98,1.12006858244562,190.6008446538
133,ENF-05_0133.png,69.48,1.11916378875771,193.760459802
134,ENF-05_0134.png,69.98,1.14041406482604,196.2325135848
135,ENF-05_0135.png,70.48,1.14584007682071,199.4945712396
136,ENF-05_0136.png,70.98,1.15262327934725,202.390896246
137,ENF-05_0137.png,71.48,1.1684502935537,204.7021468758
138,ENF-05_0138.png,71.98,1.17523212101383,207.2473293954
139,ENF-05_0139.png,72.48,1.17839752385512,209.8803197778
140,ENF-05_0140.png,72.98,1.1887999011333,212.4255912618
141,ENF-05_0141.png,73.48,1.19648652228135,214.7661111792
142,ENF-05_0142.png,73.98,1.20688752449313,217.1357669376
143,ENF-05_0143.png,74.48,1.23039840971484,225.239623098
144,ENF-05_0144.png,74.98,1.24125318383697,228.8234205054
145,ENF-05_0145.png,75.48,1.24667919583164,231.2369801952
146,ENF-05_0146.png,75.98,1.26205243812774,233.6506288494
147,ENF-05_0147.png,76.48,1.26431304728112,235.581512187
148,ENF-05_0148.png,76.98,1.27606986495837,237.4977608808
149,ENF-05_0149.png,77.48,1.28556744854864,239.5017729552
150,ENF-05_0150.png,77.98,1.2860184703262,242.0762692446
151,ENF-05_0151.png,78.48,1.29687049431554,243.963293133
152,ENF-05_0152.png,78.98,1.30139308768869,246.4792508472
153,ENF-05_0153.png,79.48,1.31088929621256,248.965983756
154,ENF-05_0154.png,79.98,1.31360230220989,251.379587928
155,ENF-05_0155.png,80.48,1.32400330442168,253.7931921
156,ENF-05_0156.png,80.98,1.32852589779483,256.2945151704
157,ENF-05_0157.png,81.48,1.34570597733396,258.4740984882
158,ENF-05_0158.png,81.98,1.35113473946142,260.6682719676
159,ENF-05_0159.png,82.48,1.35882136060947,263.5499623302
160,ENF-05_0160.png,82.98,1.37102782499788,266.3731585998
161,ENF-05_0161.png,83.48,1.37645521205895,268.6258261722
162,ENF-05_0162.png,83.98,1.38414320827339,271.1857323
163,ENF-05_0163.png,84.48,1.38866717671295,273.2482384674
164,ENF-05_0164.png,84.98,1.39680344457216,275.0182296876
165,ENF-05_0165.png,85.48,1.41715305215176,280.1232738528
166,ENF-05_0166.png,85.98,1.42619548876528,284.131386966
167,ENF-05_0167.png,86.48,1.4352406755116,286.3694643768
168,ENF-05_0168.png,86.98,1.44473550896907,288.6221319492
169,ENF-05_0169.png,87.48,1.44971049918618,290.7870806232
170,ENF-05_0170.png,87.98,1.46011012633157,292.9373501712
171,ENF-05_0171.png,88.48,1.46553751339263,295.5996098412
172,ENF-05_0172.png,88.98,1.47503097178371,298.598332872
173,ENF-05_0173.png,89.48,1.48407753359641,300.8217311568
174,ENF-05_0174.png,89.98,1.48724293643771,302.9866798308
175,ENF-05_0175.png,90.48,1.49809496042705,305.2101225978
176,ENF-05_0176.png,90.98,1.50351959735532,307.1409614532
177,ENF-05_0177.png,91.48,1.53698183807765,317.2195604004
178,ENF-05_0178.png,91.98,1.53969484407498,319.3406496252
179,ENF-05_0179.png,92.48,1.55009722135316,321.4178349186
180,ENF-05_0180.png,92.98,1.55733144565725,323.407167867
181,ENF-05_0181.png,93.48,1.56547046364926,325.9085354196
182,ENF-05_0182.png,93.98,1.57451427532917,328.0149900006
183,ENF-05_0183.png,94.48,1.5803926841678,330.2969268606
184,ENF-05_0184.png,94.98,1.58672211478398,332.4033369594
185,ENF-05_0185.png,95.48,1.592601898689,334.2610915602
186,ENF-05_0186.png,95.98,1.60526351005416,336.806318562
187,ENF-05_0187.png,96.48,1.61023850027127,339.2491920216
188,ENF-05_0188.png,96.98,1.61792512141932,341.180030877
189,ENF-05_0189.png,97.48,1.62425455203551,343.344979551
190,ENF-05_0190.png,97.98,1.6323949450939,346.0803679578
191,ENF-05_0191.png,98.48,1.6436993659272,348.4207989108
192,ENF-05_0192.png,98.98,1.6518383839192,350.7028247352
193,ENF-05_0193.png,99.48,1.65816781453539,353.5698359718
194,ENF-05_0194.png,99.98,1.66811779496961,356.1443767434
195,ENF-05_0195.png,100.48,1.67489824736335,358.2361077162
196,ENF-05_0196.png,100.98,1.68123180317873,360.6789811758
197,ENF-05_0197.png,101.48,1.69343964263354,363.7947368748
198,ENF-05_0198.png,101.98,1.6988656546282,366.574029213
199,ENF-05_0199.png,102.48,1.70926528177359,368.9145046482
200,ENF-05_0200.png,102.98,1.71514369061222,370.8306643776
201,ENF-05_0201.png,103.48,1.72509092091364,374.385325944
202,ENF-05_0202.png,103.98,1.7458929253372,378.7297689714
203,ENF-05_0203.png,104.48,1.75132031239827,381.7284920022
204,ENF-05_0204.png,104.98,1.75991310230063,384.2152693932
205,ENF-05_0205.png,105.48,1.772571963533,386.5410657024
206,ENF-05_0206.png,105.98,1.77573736637428,388.530443133
207,ENF-05_0207.png,106.48,1.77935379099314,390.5490898512
208,ENF-05_0208.png,106.98,1.79201540235829,392.6262751446
209,ENF-05_0209.png,107.48,1.79879860488483,395.581094244
210,ENF-05_0210.png,107.98,1.80919823203021,398.3896113876
211,ENF-05_0211.png,108.48,1.81914821246444,400.8032155596
212,ENF-05_0212.png,108.98,1.82547764308062,403.6264563114
213,ENF-05_0213.png,109.48,1.8358786452924,405.7182317664
214,ENF-05_0214.png,109.98,1.84220807590859,409.5945886032
215,ENF-05_0215.png,110.48,1.85848611189259,413.2369245858
216,ENF-05_0216.png,110.98,1.86662788001739,416.1625188798
217,ENF-05_0217.png,111.48,1.8756716916973,418.751649813
218,ENF-05_0218.png,111.98,1.88381070968931,420.784931175
219,ENF-05_0219.png,112.48,1.88923672168398,422.9791046544
220,ENF-05_0220.png,112.98,1.89692334283203,425.0270651424
221,ENF-05_0221.png,113.48,1.90099353936123,427.1772902082
222,ENF-05_0222.png,113.98,1.91727157534524,431.0976399408
223,ENF-05_0223.png,114.48,1.92812359933458,434.2572106068
224,ENF-05_0224.png,114.98,1.93264619270774,436.5684167544
225,ENF-05_0225.png,115.48,1.93988179207822,438.821128809
226,ENF-05_0226.png,115.98,1.96429747098785,445.7108433204
227,ENF-05_0227.png,116.48,1.97831627288487,450.4210189962
228,ENF-05_0228.png,116.98,1.98916967194061,453.0248290554
229,ENF-05_0229.png,117.48,1.99821485868692,455.7163135308
230,ENF-05_0230.png,117.98,2.00228230508333,457.8519929172
231,ENF-05_0231.png,118.48,2.01042269814173,460.1192951334
232,ENF-05_0232.png,118.98,2.02444012497236,462.4012319934
233,ENF-05_0233.png,119.48,2.02172574390862,464.5223657004
234,ENF-05_0234.png,119.98,2.03619694264961,466.6286868348
235,ENF-05_0235.png,120.48,2.04298014517614,468.8082701526
236,ENF-05_0236.png,120.98,2.04885855401477,471.0755723688
237,ENF-05_0237.png,121.48,2.0556403814749,473.0503596378
238,ENF-05_0238.png,121.98,2.06242495906783,475.1568142188
239,ENF-05_0239.png,122.48,2.0669448023082,477.5411491032
240,ENF-05_0240.png,122.98,2.08096497927162,480.7593028266
241,ENF-05_0241.png,123.48,2.0904598127291,483.2314010916
242,ENF-05_0242.png,123.98,2.09769541209958,485.5279281132
243,ENF-05_0243.png,124.48,2.10719024555706,488.3510799006
244,ENF-05_0244.png,124.98,2.11713885092489,490.881761223
245,ENF-05_0245.png,125.48,2.12301588469711,493.1929673706
246,ENF-05_0246.png,125.98,2.12708745629271,494.889829854
247,ENF-05_0247.png,126.48,2.13115627775551,497.1424974264
248,ENF-05_0248.png,126.98,2.15331134751175,502.7010821028
249,ENF-05_0249.png,127.48,2.16281030616842,506.2556547048
250,ENF-05_0250.png,127.98,2.17366233015775,509.2836470232
251,ENF-05_0251.png,128.48,2.18496812605744,511.8874126002
252,ENF-05_0252.png,128.98,2.1935595408934,514.4764990512
253,ENF-05_0253.png,129.48,2.20305437435088,516.5391386652
254,ENF-05_0254.png,129.98,2.20893278318951,518.7479023062
255,ENF-05_0255.png,130.48,2.21571461064965,520.7519143806
256,ENF-05_0256.png,130.98,2.22114199771071,522.9168185724
257,ENF-05_0257.png,131.48,2.22566184095107,525.096357408
258,ENF-05_0258.png,131.98,2.2315416248561,527.1735427014
259,ENF-05_0259.png,132.48,2.24646247030824,529.8504370152
260,ENF-05_0260.png,132.98,2.26138469082678,534.750774096
261,ENF-05_0261.png,133.48,2.26771687157576,537.6910030338
262,ENF-05_0262.png,133.98,2.27992471103057,540.6750914208
263,ENF-05_0263.png,134.48,2.28806510408897,543.0301570176
264,ENF-05_0264.png,134.98,2.29530070345946,545.3413631652
265,ENF-05_0265.png,135.48,2.30163150914204,547.56476145
266,ENF-05_0266.png,135.98,2.31157736437707,549.74438925
267,ENF-05_0267.png,136.48,2.31791092019244,551.9824666608
268,ENF-05_0268.png,136.98,2.3224321384992,553.8840807108
269,ENF-05_0269.png,137.48,2.32966636280329,556.2830947212
270,ENF-05_0270.png,137.98,2.34051838679264,559.2378693384
271,ENF-05_0271.png,138.48,2.35046836722685,561.6076140612
272,ENF-05_0272.png,138.98,2.35679642277664,565.3962075174
273,ENF-05_0273.png,139.48,2.37126762151762,568.160909694
274,ENF-05_0274.png,139.98,2.37624261173473,570.1064276754
275,ENF-05_0275.png,140.48,2.38799805434559,572.6370645156
276,ENF-05_0276.png,140.98,2.39387646318422,574.962905307
277,ENF-05_0277.png,141.48,2.40337404677448,577.4788630212
278,ENF-05_0278.png,141.98,2.41693770169476,580.9310375988
279,ENF-05_0279.png,142.48,2.42281748559978,583.9882547226
280,ENF-05_0280.png,142.98,2.43050410674783,586.2702360648
281,ENF-05_0281.png,143.48,2.44180715251473,588.6253461438
282,ENF-05_0282.png,143.98,2.44859035504126,590.9804562228
283,ENF-05_0283.png,144.48,2.46125196640642,594.0230387028
284,ENF-05_0284.png,144.98,2.46532353800202,596.3342448504
285,ENF-05_0285.png,145.48,2.47346255599402,598.7478490224
286,ENF-05_0286.png,145.98,2.48386080807302,601.3662937254
287,ENF-05_0287.png,146.48,2.49561900081666,605.5352099916
288,ENF-05_0288.png,146.98,2.5024008282768,608.7387290712
289,ENF-05_0289.png,147.48,2.51777819577209,611.6058292722
290,ENF-05_0290.png,147.98,2.52727027909677,614.019388962
291,ENF-05_0291.png,148.48,2.53541204722157,616.0672160034
292,ENF-05_0292.png,148.98,2.53767128130855,618.0566823984
293,ENF-05_0293.png,149.48,2.54897707720824,620.0899637604
294,ENF-05_0294.png,149.98,2.55530788289082,622.4597084832
295,ENF-05_0295.png,150.48,2.56796949425598,625.0780642218
296,ENF-05_0296.png,150.98,2.57022872834296,627.3454109202
297,ENF-05_0297.png,151.48,2.57972493686684,629.9784013026
298,ENF-05_0298.png,151.98,2.59193552645444,632.7431479614
299,ENF-05_0299.png,152.48,2.59826633213701,635.5516206228
300,ENF-05_0300.png,152.98,2.61273340567881,638.4333554676
301,ENF-05_0301.png,153.48,2.62358680473454,641.2711418988
302,ENF-05_0302.png,153.98,2.63172857285934,643.4653598604
303,ENF-05_0303.png,154.48,2.63263061641446,645.6888026274
304,ENF-05_0304.png,154.98,2.6443901842245,648.3656969412
305,ENF-05_0305.png,155.48,2.65433741452593,651.1011743124
